K00001,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K12368,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12369,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12370,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12371,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12372,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12373,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K12373,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K12373,531,Metabolism ,Glycan biosynthesis and metabolism ,Glycosaminoglycan degradation 
K12373,513,Metabolism ,Glycan biosynthesis and metabolism ,Various types of N-glycan biosynthesis 
K12373,603,Metabolism ,Glycan biosynthesis and metabolism ,Glycosphingolipid biosynthesis - globo and isoglobo series 
K12373,604,Metabolism ,Glycan biosynthesis and metabolism ,Glycosphingolipid biosynthesis - ganglio series 
K12373,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K12405,1040,Metabolism ,Lipid metabolism,Biosynthesis of unsaturated fatty acids 
K12405,120,Metabolism ,Lipid metabolism,Primary bile acid biosynthesis 
K12405,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K12410,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K12420,1056,Metabolism ,Metabolism of terpenoids and polyketides,Biosynthesis of type II polyketide backbone 
K12420,253,Metabolism ,Metabolism of terpenoids and polyketides,Tetracycline biosynthesis 
K12448,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K12452,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K12452,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K12453,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K12453,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K12454,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K12454,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K12466,903,Metabolism ,Metabolism of terpenoids and polyketides,Limonene and pinene degradation 
K12472,4144,Cellular Processes ,Transport and catabolism ,Endocytosis 
K12502,130,Metabolism ,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis 
K12503,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K12506,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K12524,260,Metabolism ,Amino acid metabolism ,Glycine
K12524,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K12524,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K12524,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K12525,260,Metabolism ,Amino acid metabolism ,Glycine
K12525,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K12525,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K12525,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K12526,260,Metabolism ,Amino acid metabolism ,Glycine
K12526,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K12526,300,Metabolism ,Amino acid metabolism ,Lysine biosynthesis 
K12526,261,Metabolism ,Biosynthesis of other secondary metabolites,Monobactam biosynthesis 
K12527,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K12528,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K12529,450,Metabolism ,Metabolism of other amino acids,Selenocompound metabolism 
K12530,2020,Environmental Information Processing,Signal transduction,Two-component system 
K12531,2020,Environmental Information Processing,Signal transduction,Two-component system 
K12532,2020,Environmental Information Processing,Signal transduction,Two-component system 
K12536,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12541,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K12551,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12552,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K12552,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12553,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K12553,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12554,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12555,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K12555,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12556,1501,Human Diseases,Drug resistance: antimicrobial ,beta-Lactam resistance 
K12556,550,Metabolism ,Glycan biosynthesis and metabolism ,Peptidoglycan biosynthesis 
K12567,5410,Human Diseases,Cardiovascular disease,Hypertrophic cardiomyopathy 
K12567,5414,Human Diseases,Cardiovascular disease,Dilated cardiomyopathy 
K12570,521,Metabolism ,Biosynthesis of other secondary metabolites,Streptomycin biosynthesis 
K12573,3018,Genetic Information Processing ,Folding,RNA degradation 
K12574,3018,Genetic Information Processing ,Folding,RNA degradation 
K12581,3018,Genetic Information Processing ,Folding,RNA degradation 
K12585,3018,Genetic Information Processing ,Folding,RNA degradation 
K12589,3018,Genetic Information Processing ,Folding,RNA degradation 
K12600,3018,Genetic Information Processing ,Folding,RNA degradation 
K12645,909,Metabolism ,Metabolism of terpenoids and polyketides,Sesquiterpenoid and triterpenoid biosynthesis 
K12658,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K12660,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K12661,51,Metabolism ,Carbohydrate metabolism,Fructose and mannose metabolism 
K12673,331,Metabolism ,Biosynthesis of other secondary metabolites,Clavulanic acid biosynthesis 
K12674,331,Metabolism ,Biosynthesis of other secondary metabolites,Clavulanic acid biosynthesis 
K12675,331,Metabolism ,Biosynthesis of other secondary metabolites,Clavulanic acid biosynthesis 
K12676,331,Metabolism ,Biosynthesis of other secondary metabolites,Clavulanic acid biosynthesis 
K12687,2026,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Escherichia coli 
K12710,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K12711,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K12712,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K12713,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K12723,401,Metabolism ,Biosynthesis of other secondary metabolites,Novobiocin biosynthesis 
K12733,3040,Genetic Information Processing ,Transcription,Spliceosome 
K12743,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K12744,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K12745,311,Metabolism ,Biosynthesis of other secondary metabolites,Penicillin and cephalosporin biosynthesis 
K12784,5130,Human Diseases,Infectious disease: bacterial ,Pathogenic Escherichia coli infection 
K12785,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K12785,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K12785,5130,Human Diseases,Infectious disease: bacterial ,Pathogenic Escherichia coli infection 
K12787,5130,Human Diseases,Infectious disease: bacterial ,Pathogenic Escherichia coli infection 
K12790,5130,Human Diseases,Infectious disease: bacterial ,Pathogenic Escherichia coli infection 
K12904,998,Metabolism ,Biosynthesis of other secondary metabolites,Biosynthesis of various secondary metabolites - part 2 
K12904,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12905,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12907,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12908,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12910,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12914,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12915,440,Metabolism ,Metabolism of other amino acids,Phosphonate and phosphinate metabolism 
K12957,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K12957,10,Metabolism ,Carbohydrate metabolism,Glycolysis / Gluconeogenesis 
K12957,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K12960,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K12962,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K12963,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K12972,260,Metabolism ,Amino acid metabolism ,Glycine
K12972,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K12972,630,Metabolism ,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism 
K12973,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K12973,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12973,5133,Human Diseases,Infectious disease: bacterial ,Pertussis 
K12974,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12975,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K12975,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12976,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12979,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12981,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12985,540,Metabolism ,Glycan biosynthesis and metabolism ,Lipopolysaccharide biosynthesis 
K12990,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K12990,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K12992,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K12993,542,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen repeat unit biosynthesis 
K13010,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13010,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13014,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13014,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K13015,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13015,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13016,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13016,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13017,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13017,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13018,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13018,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13019,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13019,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13020,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13020,541,Metabolism ,Glycan biosynthesis and metabolism ,O-Antigen nucleotide sugar biosynthesis 
K13035,460,Metabolism ,Metabolism of other amino acids,Cyanoamino acid metabolism 
K13038,770,Metabolism ,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis 
K13039,680,Metabolism ,Energy metabolism,Methane metabolism 
K13040,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13041,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13051,250,Metabolism ,Amino acid metabolism ,Alanine
K13051,460,Metabolism ,Metabolism of other amino acids,Cyanoamino acid metabolism 
K13057,500,Metabolism ,Carbohydrate metabolism,Starch and sucrose metabolism 
K13060,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K13060,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13060,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13061,270,Metabolism ,Amino acid metabolism ,Cysteine and methionine metabolism 
K13061,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13061,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13061,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13063,405,Metabolism ,Biosynthesis of other secondary metabolites,Phenazine biosynthesis 
K13063,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13075,2024,Cellular Processes ,Cellular community - prokaryotes,Quorum sensing 
K13085,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13085,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13085,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13171,3013,Genetic Information Processing ,Translation,RNA transport 
K13171,3015,Genetic Information Processing ,Translation,mRNA surveillance pathway 
K13237,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K13245,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13279,5146,Human Diseases,Infectious disease: parasitic,Amoebiasis 
K13279,4146,Cellular Processes ,Transport and catabolism ,Peroxisome 
K13280,3060,Genetic Information Processing ,Folding,Protein export 
K13284,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13284,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13284,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13285,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13285,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13285,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13286,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13286,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13286,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13287,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13287,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13288,3008,Genetic Information Processing ,Translation,Ribosome biogenesis in eukaryotes 
K13301,3060,Genetic Information Processing ,Folding,Protein export 
K13301,3070,Environmental Information Processing,Membrane transport ,Bacterial secretion system 
K13307,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13308,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13310,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13311,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13312,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13313,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13315,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13316,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13317,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13318,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13319,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13322,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13327,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13329,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13330,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13332,523,Metabolism ,Metabolism of terpenoids and polyketides,Polyketide sugar unit biosynthesis 
K13371,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K13371,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13371,950,Metabolism ,Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis 
K13372,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K13372,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13372,950,Metabolism ,Biosynthesis of other secondary metabolites,Isoquinoline alkaloid biosynthesis 
K13378,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K13380,190,Metabolism ,Energy metabolism,Oxidative phosphorylation 
K13381,520,Metabolism ,Carbohydrate metabolism,Amino sugar and nucleotide sugar metabolism 
K13408,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K13409,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K13409,2010,Environmental Information Processing,Membrane transport ,ABC transporters 
K13421,240,Metabolism ,Nucleotide Metabolism,Pyrimidine metabolism 
K13421,983,Metabolism ,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes 
K13444,4142,Cellular Processes ,Transport and catabolism ,Lysosome 
K13448,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K13472,4626,Organismal Systems,Environmental adaptation ,Plant-pathogen interaction 
K13479,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13480,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13481,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13482,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13483,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13485,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13486,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13487,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13487,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13488,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13488,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13489,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13489,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13490,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13490,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13491,2025,Cellular Processes ,Cellular community - prokaryotes,Biofilm formation - Pseudomonas aeruginosa 
K13491,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13497,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13498,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13501,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13503,400,Metabolism ,Amino acid metabolism ,Phenylalanine
K13509,4975,Organismal Systems,Digestive system,Fat digestion and absorption 
K13509,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K13509,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K13509,4072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway 
K13513,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K13513,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K13522,760,Metabolism ,Metabolism of cofactors and vitamins,Nicotinate and nicotinamide metabolism 
K13523,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K13523,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K13523,4072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway 
K13524,280,Metabolism ,Amino acid metabolism ,Valine
K13524,250,Metabolism ,Amino acid metabolism ,Alanine
K13524,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13524,650,Metabolism ,Carbohydrate metabolism,Butanoate metabolism 
K13524,410,Metabolism ,Metabolism of other amino acids,beta-Alanine metabolism 
K13524,4727,Organismal Systems,Nervous system,GABAergic synapse 
K13525,4141,Genetic Information Processing ,Folding,Protein processing in endoplasmic reticulum 
K13525,5134,Human Diseases,Infectious disease: bacterial ,Legionellosis 
K13525,5022,Human Diseases,Neurodegenerative disease,Pathways of neurodegeneration - multiple diseases 
K13525,5014,Human Diseases,Neurodegenerative disease,Amyotrophic lateral sclerosis 
K13527,3050,Genetic Information Processing ,Folding,Proteasome 
K13529,3410,Genetic Information Processing ,Replication and Repair ,Base excision repair 
K13532,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13533,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13540,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13541,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13542,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13543,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13546,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13547,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13548,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13550,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13552,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13553,524,Metabolism ,Biosynthesis of other secondary metabolites,Neomycin
K13574,360,Metabolism ,Amino acid metabolism ,Phenylalanine metabolism 
K13574,350,Metabolism ,Amino acid metabolism ,Tyrosine metabolism 
K13581,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13582,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13583,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13584,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13584,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13585,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13586,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13587,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13587,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13588,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13588,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13589,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13589,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13590,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13591,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13592,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13593,4112,Cellular Processes ,Cell growth and death,Cell cycle - Caulobacter 
K13598,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13599,2020,Environmental Information Processing,Signal transduction,Two-component system 
K13604,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13605,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13606,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13607,960,Metabolism ,Biosynthesis of other secondary metabolites,Tropane
K13609,310,Metabolism ,Amino acid metabolism ,Lysine degradation 
K13609,960,Metabolism ,Biosynthesis of other secondary metabolites,Tropane
K13622,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K13623,564,Metabolism ,Lipid metabolism,Glycerophospholipid metabolism 
K13632,1503,Human Diseases,Drug resistance: antimicrobial ,Cationic antimicrobial peptide (CAMP) resistance 
K13668,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K13669,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K13671,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K13677,561,Metabolism ,Lipid metabolism,Glycerolipid metabolism 
K13686,572,Metabolism ,Glycan biosynthesis and metabolism ,Arabinogalactan biosynthesis - Mycobacterium 
K13687,571,Metabolism ,Glycan biosynthesis and metabolism ,Lipoarabinomannan (LAM) biosynthesis 
K13687,572,Metabolism ,Glycan biosynthesis and metabolism ,Arabinogalactan biosynthesis - Mycobacterium 
K13713,230,Metabolism ,Nucleotide Metabolism,Purine metabolism 
K13714,511,Metabolism ,Glycan biosynthesis and metabolism ,Other glycan degradation 
K13730,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13731,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13732,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13733,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13735,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13735,5135,Human Diseases,Infectious disease: bacterial ,Yersinia infection 
K13739,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13740,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13740,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13741,5132,Human Diseases,Infectious disease: bacterial ,Salmonella infection 
K13741,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13743,5131,Human Diseases,Infectious disease: bacterial ,Shigellosis 
K13743,5100,Human Diseases,Infectious disease: bacterial ,Bacterial invasion of epithelial cells 
K13745,260,Metabolism ,Amino acid metabolism ,Glycine
K13747,330,Metabolism ,Amino acid metabolism ,Arginine and proline metabolism 
K13766,280,Metabolism ,Amino acid metabolism ,Valine
K13767,71,Metabolism ,Lipid metabolism,Fatty acid degradation 
K13767,362,Metabolism ,Xenobiotics biodegradation and metabolism,Benzoate degradation 
K13774,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13775,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13776,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13777,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13778,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13779,281,Metabolism ,Metabolism of terpenoids and polyketides,Geraniol degradation 
K13786,860,Metabolism ,Metabolism of cofactors and vitamins,Porphyrin and chlorophyll metabolism 
K13787,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K13788,620,Metabolism ,Carbohydrate metabolism,Pyruvate metabolism 
K13788,640,Metabolism ,Carbohydrate metabolism,Propanoate metabolism 
K13788,680,Metabolism ,Energy metabolism,Methane metabolism 
K13788,720,Metabolism ,Energy metabolism,Carbon fixation pathways in prokaryotes 
K13788,430,Metabolism ,Metabolism of other amino acids,Taurine and hypotaurine metabolism 
K13789,900,Metabolism ,Metabolism of terpenoids and polyketides,Terpenoid backbone biosynthesis 
K13797,3020,Genetic Information Processing ,Transcription,RNA polymerase 
K13798,3020,Genetic Information Processing ,Transcription,RNA polymerase 
